epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.5072,1.7747,3.3394,2.04361,0.47236,0.13792,0.08509,0.04006,1.89459,4.36393,2.36969,0.000275791,0.000275791,0.000275791
2,162.785,1.85601,2.94666,2.10206,0.52802,0.07409,0.02587,0.00781,2.29979,19.2299,2.77277,0.000547978,0.000547978,0.000547978
3,233.849,1.87072,2.9121,2.08403,0.43997,0.16339,0.05365,0.01952,2.22933,3.60872,2.79564,0.000814668,0.000814668,0.000814668
4,304.26,1.83962,2.8397,2.08624,0.60232,0.22465,0.08545,0.03942,1.95352,3.80359,2.48088,0.00080826,0.00080826,0.00080826
5,374.489,1.79497,2.71799,2.05979,0.36592,0.23083,0.1008,0.04708,1.92805,2.99393,2.31778,0.000800013,0.000800013,0.000800013
6,445.171,1.77166,2.60957,2.03434,0.53936,0.155,0.1261,0.05914,2.02613,3.07225,2.39472,0.000791767,0.000791767,0.000791767
7,515.343,1.73819,2.56508,1.99191,0.26317,0.24813,0.17695,0.08347,1.77928,2.47709,2.13091,0.00078352,0.00078352,0.00078352
8,585.661,1.69455,2.44163,1.9619,0.3288,0.31644,0.19,0.09366,1.74879,2.3739,2.13758,0.000775273,0.000775273,0.000775273
9,655.999,1.69234,2.38193,1.95749,0.4114,0.22651,0.20336,0.09922,1.81309,2.36131,2.25419,0.000767026,0.000767026,0.000767026
10,726.514,1.67104,2.35434,1.93509,0.29223,0.34751,0.20027,0.0979,1.74449,2.58245,2.08777,0.00075878,0.00075878,0.00075878
11,796.556,1.62949,2.2838,1.91085,0.4191,0.34605,0.27845,0.13163,1.74376,2.23794,2.15035,0.000750533,0.000750533,0.000750533
12,867.051,1.63842,2.20273,1.9112,0.37501,0.3572,0.30645,0.14752,1.71089,2.25866,2.13809,0.000742286,0.000742286,0.000742286
13,937.627,1.62144,2.16365,1.90448,0.35465,0.40556,0.36502,0.17395,1.71523,2.16336,2.13933,0.00073404,0.00073404,0.00073404
14,1008.31,1.61393,2.12998,1.88444,0.35533,0.39966,0.33427,0.17608,1.67998,2.03605,2.09536,0.000725793,0.000725793,0.000725793
15,1078.61,1.59821,2.09737,1.88993,0.42569,0.36913,0.35199,0.18117,1.66583,2.10193,2.08433,0.000717546,0.000717546,0.000717546
16,1149.22,1.54477,1.99048,1.84234,0.37724,0.39546,0.36123,0.18776,1.69953,1.96152,2.09099,0.000709299,0.000709299,0.000709299
17,1219.83,1.54678,1.96966,1.83075,0.35528,0.37912,0.36486,0.18973,1.69183,2.02656,2.14278,0.000701053,0.000701053,0.000701053
18,1290.78,1.56476,1.96671,1.8586,0.54639,0.37471,0.39558,0.21228,1.6597,2.06368,2.10372,0.000692806,0.000692806,0.000692806
19,1360.95,1.5446,1.90183,1.85037,0.49281,0.41461,0.38979,0.19802,1.7076,1.96839,2.14506,0.000684559,0.000684559,0.000684559
20,1431.33,1.51086,1.85935,1.79376,0.45195,0.41756,0.41654,0.21221,1.72036,1.9175,2.13539,0.000676313,0.000676313,0.000676313
21,1501.74,1.51071,1.82871,1.81113,0.41587,0.42266,0.41062,0.22173,1.64648,1.92566,2.06176,0.000668066,0.000668066,0.000668066
22,1572.64,1.50992,1.86645,1.8208,0.49116,0.41889,0.43408,0.22374,1.69529,1.88719,2.12503,0.000659819,0.000659819,0.000659819
23,1643.36,1.50689,1.77612,1.81707,0.56438,0.4337,0.48161,0.25253,1.62646,1.80222,2.05745,0.000651573,0.000651573,0.000651573
24,1713.93,1.49598,1.73434,1.80475,0.49806,0.50831,0.51449,0.27212,1.58936,1.68021,2.04409,0.000643326,0.000643326,0.000643326
25,1784.62,1.48332,1.73284,1.79296,0.51487,0.51531,0.522,0.2743,1.60202,1.64295,2.03109,0.000635079,0.000635079,0.000635079
26,1855.49,1.49401,1.68235,1.80465,0.4764,0.49188,0.51064,0.28286,1.6074,1.65114,2.03631,0.000626832,0.000626832,0.000626832
27,1926.09,1.45368,1.62753,1.78765,0.51826,0.49149,0.52948,0.2826,1.62809,1.64585,2.06636,0.000618586,0.000618586,0.000618586
28,1996.43,1.45447,1.60204,1.77036,0.53305,0.5374,0.55201,0.28794,1.61299,1.62671,2.08014,0.000610339,0.000610339,0.000610339
29,2067.22,1.42538,1.57959,1.7441,0.68109,0.45896,0.54151,0.28185,1.64348,1.58295,2.06128,0.000602092,0.000602092,0.000602092
30,2137.51,1.42704,1.56745,1.74686,0.59221,0.55456,0.57738,0.30701,1.60458,1.53547,2.07468,0.000593846,0.000593846,0.000593846
31,2208.18,1.4284,1.57021,1.7634,0.57101,0.49029,0.54857,0.29754,1.59188,1.57462,2.02855,0.000585599,0.000585599,0.000585599
32,2278.5,1.45561,1.54253,1.75258,0.53239,0.53938,0.55482,0.30122,1.5577,1.55678,1.98921,0.000577352,0.000577352,0.000577352
33,2349.18,1.42654,1.50452,1.7273,0.59975,0.5411,0.59711,0.32701,1.55637,1.4586,1.98029,0.000569106,0.000569106,0.000569106
34,2419.78,1.39022,1.49092,1.70543,0.56125,0.55566,0.59317,0.31582,1.5835,1.50671,2.03316,0.000560859,0.000560859,0.000560859
35,2490.22,1.37556,1.43577,1.69738,0.6636,0.52077,0.58839,0.32845,1.5639,1.46911,2.02736,0.000552612,0.000552612,0.000552612
36,2561.13,1.37332,1.38866,1.69268,0.66514,0.53282,0.61617,0.32888,1.57509,1.40364,2.02295,0.000544365,0.000544365,0.000544365
37,2631.68,1.37465,1.35558,1.7018,0.67457,0.51187,0.62159,0.34165,1.56147,1.43436,2.00208,0.000536119,0.000536119,0.000536119
38,2702.2,1.36396,1.37663,1.69223,0.67357,0.56924,0.64354,0.3503,1.54736,1.41971,1.98361,0.000527872,0.000527872,0.000527872
39,2772.81,1.3617,1.33854,1.69182,0.63652,0.53821,0.61435,0.33206,1.58867,1.47549,2.01506,0.000519625,0.000519625,0.000519625
40,2843.37,1.32214,1.31493,1.6628,0.62874,0.57116,0.63426,0.35282,1.55744,1.39683,2.01494,0.000511379,0.000511379,0.000511379
41,2913.8,1.35869,1.36985,1.69443,0.59804,0.59528,0.6226,0.33989,1.54707,1.36934,1.99646,0.000503132,0.000503132,0.000503132
42,2984.11,1.34789,1.34394,1.68245,0.67808,0.56506,0.64501,0.35397,1.54847,1.37391,1.99854,0.000494885,0.000494885,0.000494885
43,3055.01,1.32631,1.26357,1.64642,0.68607,0.57117,0.63916,0.35545,1.55427,1.35952,2.0057,0.000486639,0.000486639,0.000486639
44,3125.52,1.32961,1.27395,1.6638,0.70084,0.59889,0.66,0.35297,1.57342,1.31868,2.02832,0.000478392,0.000478392,0.000478392
45,3196.04,1.30251,1.2267,1.63077,0.6656,0.62507,0.67369,0.37279,1.52229,1.30893,1.9662,0.000470145,0.000470145,0.000470145
46,3266.33,1.32703,1.25597,1.66188,0.58186,0.64424,0.64978,0.35162,1.56895,1.33248,2.00941,0.000461898,0.000461898,0.000461898
47,3336.86,1.32038,1.24846,1.67419,0.65646,0.61344,0.66398,0.36298,1.55861,1.35491,2.02459,0.000453652,0.000453652,0.000453652
48,3407.19,1.27781,1.20486,1.62406,0.63152,0.64296,0.66996,0.36056,1.55751,1.29355,2.02743,0.000445405,0.000445405,0.000445405
49,3477.52,1.26894,1.19489,1.61248,0.68811,0.60665,0.67508,0.3593,1.56341,1.3122,2.01544,0.000437158,0.000437158,0.000437158
50,3547.69,1.26332,1.17962,1.61176,0.66908,0.62805,0.68055,0.36474,1.57561,1.29345,2.02278,0.000428912,0.000428912,0.000428912
51,3618.14,1.28361,1.17059,1.61197,0.69678,0.62544,0.68255,0.37833,1.5535,1.26755,2.03985,0.000420665,0.000420665,0.000420665
52,3688.53,1.23063,1.10034,1.58224,0.72511,0.61927,0.69475,0.37237,1.56413,1.24847,2.04932,0.000412418,0.000412418,0.000412418
53,3758.59,1.24446,1.12443,1.58992,0.68591,0.66438,0.70299,0.38547,1.56575,1.25718,2.03832,0.000404172,0.000404172,0.000404172
54,3829.16,1.26401,1.11222,1.59808,0.78129,0.60642,0.70976,0.37568,1.5854,1.21201,2.07503,0.000395925,0.000395925,0.000395925
55,3899.74,1.2483,1.1077,1.58881,0.73217,0.61068,0.70407,0.37833,1.56705,1.23469,2.03846,0.000387678,0.000387678,0.000387678
56,3969.91,1.24671,1.09177,1.59618,0.76316,0.63116,0.71139,0.38557,1.53282,1.19265,2.0092,0.000379431,0.000379431,0.000379431
57,4040.26,1.22307,1.07641,1.57566,0.69958,0.67087,0.70135,0.39387,1.54479,1.19172,2.03483,0.000371185,0.000371185,0.000371185
58,4110.5,1.20237,1.04982,1.56488,0.76659,0.61807,0.70573,0.39394,1.5288,1.17405,2.02321,0.000362938,0.000362938,0.000362938
59,4181.3,1.20896,1.02333,1.54503,0.73158,0.62769,0.69445,0.38503,1.55626,1.2513,2.0396,0.000354691,0.000354691,0.000354691
60,4252.03,1.17548,1.01521,1.52226,0.72748,0.67038,0.72429,0.40361,1.52231,1.16323,2.01736,0.000346445,0.000346445,0.000346445
61,4322.48,1.19047,0.99664,1.55037,0.67224,0.67934,0.70792,0.39638,1.52398,1.2088,2.01514,0.000338198,0.000338198,0.000338198
62,4392.91,1.18533,0.99731,1.55049,0.73164,0.66665,0.73672,0.40512,1.52303,1.13271,2.02696,0.000329951,0.000329951,0.000329951
63,4463.32,1.15144,0.96196,1.51172,0.73928,0.65515,0.72639,0.41055,1.54255,1.16197,2.03297,0.000321705,0.000321705,0.000321705
64,4533.69,1.16457,0.96519,1.52343,0.72267,0.68116,0.73644,0.41846,1.52884,1.17406,2.01759,0.000313458,0.000313458,0.000313458
65,4604.4,1.16398,0.96179,1.51398,0.71142,0.67451,0.72434,0.401,1.57141,1.14045,2.04912,0.000305211,0.000305211,0.000305211
