epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6389,2.87958,4.40141,4.03803,9e-05,0.02366,6e-05,2e-05,2.7269,4.26307,4.18151,0.00027163,0.00027163,0.00027163
2,161.486,2.12426,3.40481,3.07324,0.77928,0.0443,0.02265,0.0073,2.32025,4.5557,3.27677,0.000543859,0.000543859,0.000543859
3,241.649,1.94192,3.11082,2.62944,0.18884,0.1472,0.03803,0.01154,2.28861,4.37488,3.3272,0.00081059,0.00081059,0.00081059
4,321.531,1.85049,2.90121,2.46592,0.39329,0.14758,0.07681,0.02636,2.13374,4.29732,2.96728,0.00080826,0.00080826,0.00080826
5,402.073,1.78053,2.72213,2.382,0.24008,0.32493,0.1214,0.04761,2.02475,6.08542,2.82741,0.000800013,0.000800013,0.000800013
6,482.298,1.74435,2.57569,2.30788,0.27456,0.38025,0.15388,0.06496,1.9683,3.28618,2.65061,0.000791767,0.000791767,0.000791767
7,563.48,1.73011,2.49922,2.28271,0.53802,0.11707,0.03852,0.01411,2.16085,4.15655,2.80107,0.00078352,0.00078352,0.00078352
8,642.734,1.67094,2.36539,2.21858,0.44424,0.29882,0.22227,0.09661,1.8082,2.46009,2.50486,0.000775273,0.000775273,0.000775273
9,722.522,1.66114,2.29596,2.20522,0.41755,0.29477,0.28952,0.1301,1.83922,2.38853,2.51378,0.000767026,0.000767026,0.000767026
10,803.293,1.63819,2.23955,2.16668,0.29768,0.44365,0.31023,0.14743,1.7557,2.18907,2.38717,0.00075878,0.00075878,0.00075878
11,883.7,1.61861,2.14209,2.14597,0.28842,0.41889,0.29874,0.13052,1.71036,2.69879,2.35968,0.000750533,0.000750533,0.000750533
12,963.178,1.58961,2.08746,2.14107,0.4173,0.44188,0.38063,0.17469,1.73243,2.51211,2.45024,0.000742286,0.000742286,0.000742286
13,1043.19,1.59399,2.03151,2.12174,0.33076,0.46182,0.33752,0.15674,1.73748,2.40806,2.38341,0.00073404,0.00073404,0.00073404
14,1123.02,1.58932,1.95193,2.11021,0.41793,0.47497,0.45869,0.23073,1.68006,1.87703,2.33288,0.000725793,0.000725793,0.000725793
15,1203.72,1.58048,1.91691,2.10122,0.48167,0.43173,0.45206,0.20984,1.76902,1.96501,2.40562,0.000717546,0.000717546,0.000717546
16,1283.04,1.52916,1.87609,2.05414,0.49327,0.41852,0.43052,0.20575,1.73284,2.18661,2.35752,0.000709299,0.000709299,0.000709299
17,1362.96,1.52962,1.83881,2.0442,0.48147,0.55373,0.56581,0.27632,1.67317,1.77297,2.27018,0.000701053,0.000701053,0.000701053
18,1442.25,1.51959,1.78196,2.03822,0.51472,0.48277,0.50335,0.25011,1.73299,1.86368,2.37857,0.000692806,0.000692806,0.000692806
19,1521.8,1.49902,1.73738,2.00163,0.57048,0.52196,0.55747,0.28455,1.64263,1.69548,2.21442,0.000684559,0.000684559,0.000684559
20,1601.04,1.49216,1.67384,1.99621,0.62152,0.50469,0.54593,0.27238,1.6657,1.75891,2.31393,0.000676313,0.000676313,0.000676313
21,1680.35,1.4589,1.63686,1.96047,0.59671,0.54837,0.61385,0.30579,1.67025,1.5694,2.24043,0.000668066,0.000668066,0.000668066
22,1759.26,1.4475,1.58495,1.95749,0.6128,0.58101,0.62379,0.32689,1.58735,1.50074,2.17689,0.000659819,0.000659819,0.000659819
23,1838.53,1.43464,1.58645,1.93754,0.62977,0.55878,0.61584,0.30253,1.63452,1.62644,2.27182,0.000651573,0.000651573,0.000651573
24,1917.24,1.439,1.53605,1.94363,0.56334,0.50684,0.50506,0.24044,1.73123,2.1069,2.30496,0.000643326,0.000643326,0.000643326
25,1996.18,1.40175,1.46599,1.89946,0.6362,0.59205,0.64975,0.34275,1.60354,1.45062,2.20557,0.000635079,0.000635079,0.000635079
26,2075.5,1.42161,1.47118,1.91654,0.63192,0.5927,0.62472,0.32531,1.62984,1.55154,2.22984,0.000626832,0.000626832,0.000626832
27,2154.14,1.39617,1.43071,1.88749,0.58063,0.64422,0.64497,0.32625,1.60182,1.55709,2.20013,0.000618586,0.000618586,0.000618586
28,2233.29,1.38359,1.39913,1.87462,0.62332,0.5989,0.63222,0.31842,1.66063,1.58957,2.28289,0.000610339,0.000610339,0.000610339
29,2311.96,1.37885,1.38215,1.87222,0.75025,0.59018,0.68454,0.36201,1.62453,1.38252,2.21866,0.000602092,0.000602092,0.000602092
30,2391.38,1.35469,1.33629,1.84831,0.62645,0.62158,0.67455,0.35553,1.63597,1.40483,2.25652,0.000593846,0.000593846,0.000593846
31,2470.62,1.35508,1.34526,1.85974,0.64429,0.60833,0.66079,0.34363,1.59684,1.47499,2.18925,0.000585599,0.000585599,0.000585599
32,2550,1.34071,1.3009,1.82751,0.70378,0.65946,0.70371,0.3674,1.62565,1.36264,2.21692,0.000577352,0.000577352,0.000577352
33,2628.82,1.34133,1.30151,1.83439,0.68028,0.62651,0.68831,0.35292,1.62873,1.40174,2.23625,0.000569106,0.000569106,0.000569106
34,2708.25,1.31782,1.2479,1.80421,0.66766,0.64068,0.67899,0.34365,1.65223,1.49886,2.24433,0.000560859,0.000560859,0.000560859
35,2787.31,1.29978,1.21618,1.79362,0.64895,0.62786,0.66043,0.358,1.63497,1.4333,2.25932,0.000552612,0.000552612,0.000552612
