epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0556,1.75652,3.22401,1.99467,0.48825,0.15009,0.06879,0.02939,1.98057,8.42454,2.48456,0.000275791,0.000275791,0.000275791
2,148.94,1.86365,2.97461,2.03253,0.64536,0.08865,0.03189,0.01355,2.17084,17.8999,2.76102,0.000547978,0.000547978,0.000547978
3,222.894,1.85581,2.92187,1.98445,0.45155,0.17117,0.07015,0.0313,2.06892,8.47704,2.35421,0.000814668,0.000814668,0.000814668
4,296.511,1.84338,2.84482,1.97273,0.33323,0.14466,0.08306,0.03582,2.03139,3.74103,2.19404,0.00080826,0.00080826,0.00080826
5,370.417,1.78006,2.6984,1.90429,0.20813,0.24409,0.10216,0.04721,1.91668,3.70178,2.16691,0.000800013,0.000800013,0.000800013
6,444.478,1.77805,2.6271,1.89655,0.29392,0.2659,0.1652,0.07837,1.83602,2.55645,1.98746,0.000791767,0.000791767,0.000791767
7,518.373,1.72019,2.55819,1.86703,0.41148,0.24448,0.14896,0.071,1.84912,2.93501,2.05941,0.00078352,0.00078352,0.00078352
8,592.092,1.69487,2.45716,1.83002,0.20136,0.36311,0.17043,0.08211,1.84962,2.65405,1.9852,0.000775273,0.000775273,0.000775273
9,666.324,1.69493,2.40648,1.82423,0.4295,0.26961,0.17136,0.07949,1.86441,2.62433,2.00649,0.000767026,0.000767026,0.000767026
10,740.068,1.66499,2.33564,1.80386,0.29631,0.35554,0.21171,0.09884,1.78892,2.40457,1.94013,0.00075878,0.00075878,0.00075878
11,814.342,1.63381,2.29271,1.78651,0.27632,0.37393,0.25971,0.11468,1.76583,2.33035,1.91495,0.000750533,0.000750533,0.000750533
12,888.424,1.62902,2.21435,1.77381,0.4321,0.35632,0.29066,0.13984,1.71509,2.26309,1.89723,0.000742286,0.000742286,0.000742286
13,962.577,1.60665,2.15182,1.75324,0.26548,0.46079,0.32456,0.16709,1.67233,2.18411,1.81497,0.00073404,0.00073404,0.00073404
14,1036.93,1.60676,2.10088,1.7466,0.55611,0.37512,0.3273,0.15357,1.75934,2.06087,1.88941,0.000725793,0.000725793,0.000725793
15,1110.7,1.5822,2.0744,1.73641,0.412,0.44082,0.388,0.19594,1.67064,1.91122,1.81309,0.000717546,0.000717546,0.000717546
16,1185.38,1.54813,1.99729,1.71236,0.3862,0.42882,0.38647,0.19916,1.65334,1.99109,1.85635,0.000709299,0.000709299,0.000709299
17,1259.92,1.5451,1.97529,1.70253,0.41502,0.45248,0.41706,0.2146,1.69698,1.84518,1.86126,0.000701053,0.000701053,0.000701053
18,1334.4,1.5601,1.96139,1.72065,0.61602,0.35615,0.41809,0.20672,1.69089,1.9709,1.86601,0.000692806,0.000692806,0.000692806
19,1408.35,1.51006,1.87633,1.68807,0.52821,0.44337,0.43918,0.22646,1.66557,1.89307,1.83084,0.000684559,0.000684559,0.000684559
20,1482.73,1.49186,1.81697,1.65532,0.57101,0.40275,0.43712,0.23585,1.62986,1.81691,1.80615,0.000676313,0.000676313,0.000676313
21,1557.18,1.48945,1.83927,1.66087,0.39994,0.40567,0.37296,0.19432,1.7004,2.08252,1.89373,0.000668066,0.000668066,0.000668066
22,1631.27,1.48831,1.80883,1.65602,0.54555,0.36757,0.406,0.22193,1.66528,2.15038,1.8639,0.000659819,0.000659819,0.000659819
23,1705.46,1.4999,1.78477,1.67717,0.52915,0.52076,0.53781,0.28501,1.63572,1.66254,1.82812,0.000651573,0.000651573,0.000651573
24,1780.02,1.47388,1.72952,1.65275,0.62904,0.45638,0.51577,0.27245,1.62513,1.74944,1.79913,0.000643326,0.000643326,0.000643326
25,1853.92,1.47063,1.68985,1.64647,0.49609,0.48832,0.50054,0.27779,1.58,1.75187,1.7939,0.000635079,0.000635079,0.000635079
26,1928.09,1.48676,1.68262,1.6471,0.61778,0.41686,0.47659,0.25294,1.68474,1.99616,1.87511,0.000626832,0.000626832,0.000626832
27,2001.92,1.43218,1.60589,1.61828,0.55794,0.46695,0.53379,0.28447,1.62334,1.73032,1.81578,0.000618586,0.000618586,0.000618586
28,2075.82,1.43139,1.57849,1.61073,0.58164,0.51381,0.53506,0.28571,1.60002,1.56717,1.79658,0.000610339,0.000610339,0.000610339
29,2150.26,1.41905,1.59631,1.59287,0.60762,0.54312,0.55129,0.28484,1.61999,1.62238,1.821,0.000602092,0.000602092,0.000602092
30,2224.7,1.41332,1.54161,1.59338,0.61146,0.52337,0.57636,0.3191,1.56959,1.50205,1.74278,0.000593846,0.000593846,0.000593846
31,2299.12,1.4111,1.53203,1.60191,0.59899,0.55326,0.60067,0.31741,1.6121,1.53026,1.78085,0.000585599,0.000585599,0.000585599
32,2373.52,1.43951,1.51953,1.60963,0.65308,0.50787,0.58436,0.3097,1.6282,1.54006,1.81502,0.000577352,0.000577352,0.000577352
33,2447.54,1.41143,1.46093,1.58353,0.66917,0.46425,0.55415,0.29984,1.64724,1.75548,1.83072,0.000569106,0.000569106,0.000569106
34,2521.45,1.37372,1.4357,1.56196,0.5587,0.61718,0.614,0.34224,1.55619,1.39695,1.7419,0.000560859,0.000560859,0.000560859
35,2595.71,1.36072,1.39533,1.54332,0.57439,0.59256,0.60561,0.32302,1.59665,1.48965,1.77582,0.000552612,0.000552612,0.000552612
36,2669.49,1.36747,1.34888,1.534,0.64642,0.59544,0.64781,0.33268,1.58746,1.39833,1.77491,0.000544365,0.000544365,0.000544365
37,2743.4,1.36366,1.3592,1.54225,0.62709,0.56971,0.62498,0.33462,1.59388,1.51977,1.78899,0.000536119,0.000536119,0.000536119
38,2817.1,1.35943,1.37243,1.55223,0.53489,0.63698,0.63202,0.34049,1.58953,1.40811,1.78013,0.000527872,0.000527872,0.000527872
39,2891.06,1.34151,1.29692,1.53515,0.62137,0.62267,0.66568,0.35185,1.57546,1.35592,1.74497,0.000519625,0.000519625,0.000519625
40,2965.3,1.30978,1.31625,1.50788,0.67707,0.60476,0.67217,0.35535,1.56009,1.3283,1.75033,0.000511379,0.000511379,0.000511379
41,3039.05,1.32269,1.31933,1.52089,0.66445,0.60436,0.67076,0.36235,1.566,1.34099,1.758,0.000503132,0.000503132,0.000503132
42,3113.1,1.31091,1.28163,1.51529,0.64876,0.56507,0.63904,0.33302,1.6146,1.4351,1.80858,0.000494885,0.000494885,0.000494885
43,3186.62,1.30469,1.2417,1.50306,0.74221,0.61109,0.70122,0.37729,1.54992,1.27435,1.73805,0.000486639,0.000486639,0.000486639
44,3260.34,1.29956,1.25781,1.49761,0.67538,0.64024,0.69674,0.37911,1.56321,1.29923,1.75141,0.000478392,0.000478392,0.000478392
45,3334.07,1.27492,1.19341,1.48058,0.6701,0.64068,0.68709,0.36056,1.58438,1.34433,1.79589,0.000470145,0.000470145,0.000470145
46,3407.6,1.30063,1.21876,1.49654,0.7457,0.65082,0.73054,0.40143,1.53164,1.24534,1.72363,0.000461898,0.000461898,0.000461898
47,3481.33,1.28253,1.193,1.48337,0.67742,0.68519,0.72829,0.39176,1.54651,1.19936,1.74015,0.000453652,0.000453652,0.000453652
48,3555.11,1.23938,1.14939,1.45658,0.68659,0.64995,0.71691,0.38696,1.57405,1.22789,1.76869,0.000445405,0.000445405,0.000445405
49,3629.46,1.24311,1.15221,1.45661,0.63983,0.61388,0.67278,0.36462,1.58283,1.32966,1.7807,0.000437158,0.000437158,0.000437158
50,3704.36,1.22809,1.11764,1.44999,0.71608,0.662,0.71773,0.3918,1.55909,1.20103,1.74978,0.000428912,0.000428912,0.000428912
