epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2423,1.75983,3.75493,1.8814,0.27479,0.26425,0.13828,0.06095,1.89637,2.87707,2.02328,0.000273914,0.000273914,0.000273914
2,57.7943,1.67018,2.61917,1.73372,0.11139,0.28917,0.13527,0.06197,1.8561,2.99014,2.0139,0.00054612,0.00054612,0.00054612
3,85.1044,1.66292,2.4312,1.71154,0.34317,0.23044,0.16906,0.07368,1.99113,3.04681,2.09362,0.000812829,0.000812829,0.000812829
4,112.104,1.69368,2.35531,1.73124,0.378,0.28469,0.27178,0.12093,1.94472,2.49396,2.04387,0.00080826,0.00080826,0.00080826
5,139.684,1.67272,2.32269,1.74135,0.29009,0.26616,0.222,0.10407,1.91916,2.63744,1.98675,0.000800013,0.000800013,0.000800013
6,166.835,1.63904,2.18218,1.69046,0.3525,0.30652,0.29226,0.13718,1.79699,2.23334,1.85294,0.000791767,0.000791767,0.000791767
7,193.768,1.59504,2.02928,1.64264,0.37884,0.42236,0.37942,0.18607,1.70831,1.95378,1.78277,0.00078352,0.00078352,0.00078352
8,221.133,1.57334,1.96161,1.63642,0.56835,0.37489,0.41377,0.20923,1.73394,2.02669,1.80389,0.000775273,0.000775273,0.000775273
9,248.3,1.52809,1.86905,1.61475,0.56889,0.41756,0.45595,0.22769,1.68568,2.01525,1.72821,0.000767026,0.000767026,0.000767026
10,275.219,1.55345,1.81844,1.60256,0.55493,0.46247,0.50246,0.25637,1.68409,1.85761,1.72148,0.00075878,0.00075878,0.00075878
11,302.609,1.5285,1.68215,1.59912,0.49839,0.50727,0.50333,0.25708,1.67399,1.86122,1.76167,0.000750533,0.000750533,0.000750533
12,329.781,1.51431,1.66712,1.58074,0.58633,0.44722,0.4885,0.25097,1.68467,1.89262,1.80999,0.000742286,0.000742286,0.000742286
13,356.788,1.51751,1.68885,1.58369,0.57639,0.54807,0.56764,0.28913,1.62005,1.63629,1.71256,0.00073404,0.00073404,0.00073404
14,383.876,1.46425,1.55368,1.55115,0.55101,0.53596,0.55487,0.27249,1.66231,1.70087,1.75696,0.000725793,0.000725793,0.000725793
15,410.721,1.48704,1.53399,1.54902,0.70625,0.51201,0.61317,0.31505,1.65848,1.57526,1.73305,0.000717546,0.000717546,0.000717546
16,437.696,1.4523,1.49221,1.52671,0.73564,0.5235,0.6132,0.33382,1.60111,1.48824,1.66922,0.000709299,0.000709299,0.000709299
17,464.694,1.40864,1.48095,1.49408,0.59347,0.58992,0.57119,0.2901,1.62966,1.62686,1.72107,0.000701053,0.000701053,0.000701053
18,491.561,1.39783,1.39792,1.48288,0.7352,0.59301,0.68403,0.35065,1.5835,1.33412,1.64553,0.000692806,0.000692806,0.000692806
19,518.719,1.40291,1.3485,1.50048,0.7088,0.55056,0.62572,0.33433,1.60166,1.49684,1.68661,0.000684559,0.000684559,0.000684559
20,545.607,1.40894,1.33421,1.48129,0.69177,0.57509,0.66729,0.35839,1.59649,1.33388,1.65673,0.000676313,0.000676313,0.000676313
21,572.938,1.38914,1.30414,1.4668,0.73563,0.63223,0.70647,0.36928,1.55884,1.31614,1.66587,0.000668066,0.000668066,0.000668066
22,599.991,1.36745,1.28918,1.46095,0.72426,0.58479,0.66216,0.35914,1.58934,1.448,1.65931,0.000659819,0.000659819,0.000659819
23,627.166,1.34427,1.22512,1.44186,0.67255,0.66426,0.70664,0.38009,1.54981,1.37019,1.6383,0.000651573,0.000651573,0.000651573
24,654.462,1.33456,1.1917,1.42368,0.66285,0.61488,0.66525,0.34645,1.6113,1.37527,1.68771,0.000643326,0.000643326,0.000643326
25,681.572,1.37106,1.21088,1.45298,0.69213,0.60051,0.66458,0.34628,1.61757,1.40538,1.69299,0.000635079,0.000635079,0.000635079
26,708.556,1.33438,1.14634,1.41782,0.79465,0.64118,0.7462,0.39798,1.56524,1.18239,1.66339,0.000626832,0.000626832,0.000626832
27,735.708,1.33308,1.15483,1.43424,0.68376,0.69632,0.72295,0.37946,1.60172,1.21983,1.67985,0.000618586,0.000618586,0.000618586
28,762.654,1.29555,1.10168,1.39896,0.69737,0.67916,0.7273,0.38182,1.58594,1.22648,1.65508,0.000610339,0.000610339,0.000610339
29,789.648,1.28106,1.09131,1.37472,0.73533,0.71447,0.76236,0.40938,1.57219,1.10925,1.63391,0.000602092,0.000602092,0.000602092
30,816.83,1.26247,1.05765,1.37322,0.74036,0.67191,0.7494,0.40533,1.56322,1.15768,1.63849,0.000593846,0.000593846,0.000593846
31,843.575,1.26368,1.04888,1.38482,0.78055,0.63827,0.73983,0.40101,1.58042,1.15729,1.65697,0.000585599,0.000585599,0.000585599
32,870.494,1.25884,1.03043,1.36983,0.73063,0.68261,0.74995,0.40384,1.56208,1.15865,1.63333,0.000577352,0.000577352,0.000577352
33,897.343,1.24337,1.02216,1.35557,0.78211,0.64571,0.72833,0.3945,1.55051,1.20609,1.63636,0.000569106,0.000569106,0.000569106
34,924.586,1.22713,0.99464,1.35833,0.74228,0.69585,0.75185,0.40523,1.57059,1.12048,1.648,0.000560859,0.000560859,0.000560859
35,951.476,1.21297,0.98857,1.3397,0.76058,0.69758,0.75116,0.40457,1.56666,1.14451,1.63908,0.000552612,0.000552612,0.000552612
36,978.526,1.22092,0.94797,1.34234,0.70728,0.72488,0.7659,0.42078,1.57415,1.09122,1.64868,0.000544365,0.000544365,0.000544365
37,1005.7,1.22272,0.96178,1.34996,0.73575,0.66143,0.7263,0.38416,1.60758,1.19741,1.67224,0.000536119,0.000536119,0.000536119
38,1033.04,1.19261,0.93758,1.32338,0.69612,0.68779,0.7326,0.39639,1.59674,1.16081,1.66531,0.000527872,0.000527872,0.000527872
39,1060.06,1.16959,0.89942,1.2985,0.74793,0.71948,0.77902,0.42237,1.57174,1.05507,1.64275,0.000519625,0.000519625,0.000519625
40,1087.43,1.15505,0.90728,1.29577,0.73506,0.74233,0.76314,0.42017,1.56434,1.06066,1.64847,0.000511379,0.000511379,0.000511379
41,1114.55,1.15167,0.87535,1.30102,0.75621,0.75121,0.79226,0.43893,1.52867,1.03137,1.59768,0.000503132,0.000503132,0.000503132
42,1141.61,1.15165,0.86901,1.30734,0.73706,0.70662,0.75145,0.41885,1.57397,1.05269,1.66785,0.000494885,0.000494885,0.000494885
43,1168.42,1.14286,0.85988,1.30081,0.74068,0.71011,0.76946,0.42381,1.57184,1.03514,1.64855,0.000486639,0.000486639,0.000486639
44,1195.53,1.12015,0.83241,1.26982,0.71906,0.73297,0.76931,0.41771,1.56625,1.01906,1.64257,0.000478392,0.000478392,0.000478392
45,1222.41,1.14303,0.81956,1.27788,0.72692,0.71221,0.76278,0.4132,1.5927,1.04041,1.67869,0.000470145,0.000470145,0.000470145
46,1249.57,1.10363,0.81111,1.26207,0.76973,0.67695,0.75254,0.41702,1.56563,1.0926,1.64558,0.000461898,0.000461898,0.000461898
47,1276.62,1.09565,0.7898,1.25791,0.78242,0.71776,0.78335,0.42139,1.59259,1.03469,1.67046,0.000453652,0.000453652,0.000453652
48,1303.54,1.07682,0.77534,1.24993,0.80588,0.70668,0.79524,0.4328,1.60047,0.98144,1.6823,0.000445405,0.000445405,0.000445405
49,1330.37,1.10959,0.80319,1.25604,0.79331,0.74162,0.7951,0.43597,1.56265,0.97462,1.64965,0.000437158,0.000437158,0.000437158
50,1357.4,1.09061,0.78955,1.26014,0.77045,0.75198,0.79242,0.43629,1.55138,0.96475,1.64226,0.000428912,0.000428912,0.000428912
51,1384.63,1.06385,0.75514,1.22748,0.78961,0.71612,0.79087,0.44284,1.55581,0.99519,1.63134,0.000420665,0.000420665,0.000420665
