epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7733,1.74194,3.50198,1.90114,0.13534,0.19904,0.11395,0.05262,1.88624,3.47858,1.98562,0.000273914,0.000273914,0.000273914
2,60.4677,1.69285,2.6433,1.76097,0.2564,0.29156,0.14736,0.05925,1.94753,3.26738,2.17911,0.00054612,0.00054612,0.00054612
3,89.1478,1.68078,2.43763,1.73386,0.37006,0.19724,0.14756,0.06115,1.98883,3.40887,2.11748,0.000812829,0.000812829,0.000812829
4,118.009,1.69235,2.37591,1.73371,0.40595,0.24489,0.2275,0.09852,1.91802,2.84741,2.01815,0.00080826,0.00080826,0.00080826
5,146.862,1.68546,2.31554,1.74164,0.29753,0.2822,0.18958,0.08352,1.9461,2.63352,1.93955,0.000800013,0.000800013,0.000800013
6,175.61,1.65307,2.16818,1.69865,0.3499,0.38371,0.30636,0.14555,1.76706,2.39585,1.88447,0.000791767,0.000791767,0.000791767
7,203.942,1.58094,2.02397,1.63411,0.42206,0.37443,0.38607,0.19023,1.71575,2.03426,1.79534,0.00078352,0.00078352,0.00078352
8,232.768,1.58499,1.9694,1.61918,0.41017,0.49565,0.46153,0.21899,1.78264,2.04864,1.80482,0.000775273,0.000775273,0.000775273
9,261.323,1.54288,1.8991,1.61762,0.46939,0.42324,0.41551,0.19647,1.76844,2.02649,1.80889,0.000767026,0.000767026,0.000767026
10,290.042,1.55037,1.84579,1.60588,0.50866,0.51677,0.54982,0.28742,1.66206,1.75003,1.75616,0.00075878,0.00075878,0.00075878
11,319.096,1.53005,1.72957,1.59825,0.58926,0.48202,0.54636,0.28056,1.67171,1.6713,1.75358,0.000750533,0.000750533,0.000750533
12,347.611,1.50699,1.69117,1.57771,0.68442,0.43077,0.49737,0.24458,1.72279,1.92994,1.86068,0.000742286,0.000742286,0.000742286
13,376.31,1.51753,1.66482,1.58623,0.56868,0.55088,0.57941,0.29611,1.60974,1.65871,1.68561,0.00073404,0.00073404,0.00073404
14,405.06,1.4712,1.56465,1.55164,0.63625,0.53477,0.59972,0.31404,1.59053,1.62145,1.72285,0.000725793,0.000725793,0.000725793
15,433.818,1.47823,1.52268,1.55215,0.56032,0.58228,0.59802,0.31836,1.64541,1.6255,1.73263,0.000717546,0.000717546,0.000717546
16,462.477,1.45349,1.5014,1.54415,0.74879,0.53576,0.63066,0.32572,1.62799,1.51123,1.72209,0.000709299,0.000709299,0.000709299
17,490.928,1.4227,1.47183,1.51352,0.71041,0.50777,0.62486,0.32736,1.62829,1.51077,1.70306,0.000701053,0.000701053,0.000701053
18,519.694,1.42198,1.43043,1.49857,0.65203,0.58114,0.63936,0.34174,1.58889,1.40991,1.65953,0.000692806,0.000692806,0.000692806
19,548.089,1.40711,1.37673,1.50396,0.70333,0.58106,0.62807,0.32912,1.60541,1.56758,1.71308,0.000684559,0.000684559,0.000684559
20,576.739,1.41199,1.35962,1.48774,0.64326,0.63157,0.67763,0.34443,1.64582,1.38652,1.70927,0.000676313,0.000676313,0.000676313
21,605.636,1.3927,1.32219,1.46757,0.71707,0.61561,0.68176,0.37278,1.58961,1.31487,1.674,0.000668066,0.000668066,0.000668066
22,634.4,1.36518,1.31191,1.46105,0.75654,0.5597,0.67513,0.34389,1.60425,1.36897,1.69733,0.000659819,0.000659819,0.000659819
23,662.856,1.34672,1.23127,1.45077,0.7155,0.60789,0.69137,0.3604,1.56878,1.29172,1.66442,0.000651573,0.000651573,0.000651573
24,691.198,1.32184,1.22778,1.42753,0.73591,0.57662,0.68192,0.36629,1.54099,1.38904,1.62932,0.000643326,0.000643326,0.000643326
25,719.487,1.35991,1.22086,1.44856,0.70369,0.68218,0.72599,0.38568,1.53136,1.24498,1.65404,0.000635079,0.000635079,0.000635079
26,747.869,1.3221,1.16341,1.42536,0.7597,0.63779,0.71079,0.37024,1.5702,1.22359,1.67069,0.000626832,0.000626832,0.000626832
27,776.194,1.31916,1.15063,1.43492,0.73703,0.61283,0.70737,0.36612,1.60342,1.30691,1.70695,0.000618586,0.000618586,0.000618586
28,804.466,1.31499,1.14045,1.42295,0.67183,0.68196,0.71786,0.37905,1.56293,1.21492,1.66048,0.000610339,0.000610339,0.000610339
29,833.113,1.29382,1.11677,1.39829,0.70053,0.67637,0.72524,0.39594,1.55475,1.18811,1.63298,0.000602092,0.000602092,0.000602092
30,861.626,1.26055,1.04787,1.39047,0.72468,0.673,0.72704,0.39505,1.58791,1.18241,1.68439,0.000593846,0.000593846,0.000593846
31,890.174,1.27212,1.06158,1.39863,0.74259,0.66167,0.73791,0.38323,1.5737,1.14307,1.65959,0.000585599,0.000585599,0.000585599
32,918.524,1.25946,1.03834,1.3788,0.75269,0.69209,0.76649,0.42369,1.54927,1.10726,1.616,0.000577352,0.000577352,0.000577352
33,947.352,1.23572,1.02543,1.36554,0.72636,0.66107,0.7197,0.38784,1.56516,1.17135,1.66051,0.000569106,0.000569106,0.000569106
34,976.137,1.23668,1.00923,1.37825,0.77861,0.71982,0.76387,0.39595,1.56851,1.10372,1.68015,0.000560859,0.000560859,0.000560859
35,1004.95,1.2171,0.98077,1.36456,0.71317,0.65821,0.71359,0.38561,1.5819,1.22171,1.66872,0.000552612,0.000552612,0.000552612
36,1033.54,1.22647,0.95768,1.35777,0.74318,0.69875,0.74233,0.41139,1.54111,1.09751,1.6625,0.000544365,0.000544365,0.000544365
37,1062.54,1.20249,0.96644,1.3499,0.73029,0.66576,0.73836,0.4018,1.57359,1.16716,1.68574,0.000536119,0.000536119,0.000536119
38,1091.61,1.19925,0.96474,1.34644,0.74731,0.66264,0.73217,0.39541,1.57661,1.16385,1.67701,0.000527872,0.000527872,0.000527872
39,1120.11,1.17288,0.91347,1.31309,0.73103,0.72895,0.77043,0.40698,1.58684,1.08007,1.67554,0.000519625,0.000519625,0.000519625
40,1148.98,1.14448,0.896,1.30175,0.74323,0.711,0.745,0.39639,1.60011,1.14463,1.70718,0.000511379,0.000511379,0.000511379
41,1177.85,1.14299,0.8837,1.30531,0.78004,0.69119,0.76139,0.41501,1.58197,1.07356,1.66719,0.000503132,0.000503132,0.000503132
42,1206.9,1.14826,0.8954,1.32027,0.71434,0.74215,0.77529,0.42623,1.56807,1.04287,1.66563,0.000494885,0.000494885,0.000494885
43,1235.89,1.14716,0.87252,1.31451,0.72289,0.74626,0.77942,0.41925,1.56318,1.04698,1.67083,0.000486639,0.000486639,0.000486639
44,1264.67,1.12086,0.8626,1.29007,0.75173,0.68201,0.74404,0.41099,1.52462,1.04196,1.63283,0.000478392,0.000478392,0.000478392
45,1293.59,1.1338,0.83459,1.28978,0.70399,0.76107,0.76889,0.4182,1.55967,1.06437,1.67093,0.000470145,0.000470145,0.000470145
46,1322.26,1.10714,0.81615,1.28546,0.76298,0.739,0.77103,0.42406,1.56451,1.05156,1.67517,0.000461898,0.000461898,0.000461898
47,1350.98,1.09598,0.80112,1.26753,0.7357,0.72743,0.77183,0.41084,1.57799,1.07057,1.66459,0.000453652,0.000453652,0.000453652
48,1379.77,1.07451,0.7794,1.2599,0.74471,0.71506,0.76936,0.42737,1.55513,1.05777,1.66531,0.000445405,0.000445405,0.000445405
49,1408.42,1.09419,0.80633,1.26366,0.7243,0.74676,0.78448,0.42794,1.57081,1.03764,1.69965,0.000437158,0.000437158,0.000437158
50,1437.31,1.07515,0.79486,1.26519,0.74327,0.776,0.78332,0.42164,1.57953,1.02099,1.67754,0.000428912,0.000428912,0.000428912
51,1466.06,1.06235,0.76144,1.24504,0.81502,0.72803,0.79574,0.4342,1.56432,1.01135,1.66888,0.000420665,0.000420665,0.000420665
52,1494.73,1.0613,0.74752,1.2505,0.78476,0.74885,0.80607,0.43536,1.56067,0.97645,1.66887,0.000412418,0.000412418,0.000412418
53,1523.62,1.07553,0.75771,1.24149,0.80687,0.70123,0.77411,0.41827,1.58289,1.05153,1.66846,0.000404172,0.000404172,0.000404172
54,1552.1,1.02833,0.75143,1.21814,0.71236,0.79046,0.78149,0.42979,1.57269,1.00147,1.67031,0.000395925,0.000395925,0.000395925
55,1581.02,1.00825,0.71959,1.21988,0.76256,0.74331,0.78938,0.44251,1.53654,0.98952,1.64945,0.000387678,0.000387678,0.000387678
56,1609.68,1.02661,0.72112,1.22295,0.76451,0.73963,0.79222,0.42768,1.55891,1.00039,1.65579,0.000379431,0.000379431,0.000379431
57,1638.37,0.99777,0.70466,1.20156,0.77726,0.73202,0.80734,0.4435,1.56139,0.98185,1.66684,0.000371185,0.000371185,0.000371185
58,1667.28,0.98037,0.70021,1.1924,0.81988,0.74272,0.78906,0.43882,1.58384,0.97922,1.69719,0.000362938,0.000362938,0.000362938
59,1696.16,0.9943,0.69682,1.20259,0.739,0.75622,0.79599,0.43706,1.54992,1.0236,1.69048,0.000354691,0.000354691,0.000354691
60,1724.99,0.99553,0.68735,1.20251,0.79821,0.73283,0.79584,0.44048,1.57118,1.03704,1.69692,0.000346445,0.000346445,0.000346445
61,1753.67,0.96628,0.66716,1.19105,0.79264,0.72726,0.80196,0.44546,1.55491,0.97521,1.69191,0.000338198,0.000338198,0.000338198
62,1782.51,0.97762,0.69477,1.19925,0.78657,0.74809,0.8042,0.45004,1.53364,0.98719,1.67436,0.000329951,0.000329951,0.000329951
63,1811.27,0.96276,0.67451,1.17766,0.78381,0.75505,0.81014,0.43937,1.56014,0.97095,1.67838,0.000321705,0.000321705,0.000321705
64,1840.19,0.9455,0.64921,1.1685,0.79438,0.74414,0.79576,0.43832,1.58431,0.99341,1.71652,0.000313458,0.000313458,0.000313458
65,1868.89,0.95119,0.6665,1.1716,0.81625,0.71283,0.79316,0.4229,1.59001,1.0005,1.72426,0.000305211,0.000305211,0.000305211
66,1897.6,0.90994,0.62475,1.1588,0.78557,0.74919,0.80763,0.4455,1.57284,0.98951,1.71525,0.000296964,0.000296964,0.000296964
67,1926.23,0.90981,0.63523,1.159,0.76054,0.75282,0.80176,0.43884,1.5654,0.99505,1.71463,0.000288718,0.000288718,0.000288718
68,1954.85,0.90044,0.62304,1.15167,0.75787,0.7682,0.79386,0.43825,1.59186,0.98933,1.74877,0.000280471,0.000280471,0.000280471
